0.85774,0.9869
0.94798,0.86342
0.96867,0.92738
0.85685,0.98157
0.94931,0.85809
0.97127,0.95283
0.85803,0.95235
0.93763,0.8596
0.98341,0.9918
0.86447,0.89519
0.91347,0.90188
0.99723,0.98449
0.88387,0.85608
0.88209,0.98486
0.99563,0.89461
0.9234,0.91441
0.85851,0.96416
0.96047,0.8642
0.97563,0.99903
0.8654,0.85863
0.89975,0.98276
0.99897,0.8837
0.91863,0.94408
0.85777,0.91916
0.9494,0.90888
0.98894,0.95024
0.88183,0.88549
0.87289,0.97098
0.97873,0.87265
0.96777,0.98203
0.86664,0.86691
0.88734,0.98616
0.98949,0.8657
0.95631,0.98521
0.86285,0.86831
0.89101,0.97887
0.98978,0.87582
0.95907,0.96512
0.86552,0.8904
0.88191,0.94104
0.9789,0.91262
0.97394,0.91024
0.87803,0.9496
0.8669,0.87947
0.95651,0.98456
0.99442,0.85817
0.90765,0.99893
0.85627,0.86155
0.91478,0.97302
0.99625,0.89915
0.95575,0.91495
0.86957,0.96108
0.87063,0.86463
0.95609,0.99907
0.99707,0.86277
0.92206,0.96097
0.85804,0.92238
0.88885,0.88416
0.97589,0.99301
0.98905,0.85749
0.9072,0.97007
0.85637,0.91905
0.89566,0.88142
0.97939,0.99669
0.98837,0.86263
0.90933,0.94787
0.85695,0.94957
0.88813,0.861
0.96955,0.99335
0.99559,0.89516
0.92782,0.89339
0.86286,0.99506
0.87071,0.86477
0.94288,0.93271
0.99873,0.97221
0.96167,0.85584
0.88502,0.9625
0.85663,0.94733
0.90033,0.85775
0.97579,0.97922
0.99513,0.93037
0.93324,0.86182
0.8683,0.98609
0.86203,0.92329
0.9182,0.86332
0.98665,0.98642
0.98948,0.9258
0.92412,0.86108
0.86539,0.98065
0.86303,0.93765
0.91768,0.85701
0.98433,0.96642
0.99277,0.95796
0.93387,0.85593
0.87212,0.94107
0.85808,0.9822
0.89996,0.8652
0.96767,0.90625
0.99916,0.99809
0.96063,0.89251
0.89429,0.87192
0.85724,0.98717
0.87259,0.9393
0.93044,0.85544
0.98836,0.94169
0.99235,0.98721
0.93913,0.87467
0.87938,0.88387
0.85597,0.99283
0.88112,0.93357
0.94029,0.85535
0.99187,0.93546
0.99039,0.99298
0.93808,0.88737
0.88069,0.86846
